Year,HighTemp,Class1,Class2
1969,4.0,0.0,0.0
1970,0.0,0.0,0.0
1971,1.0,0.0,0.0
1972,3.0,0.0,0.0
1973,5.0,0.0,0.0
1974,0.0,0.0,0.0
1975,2.0,1.0,2.0
1976,0.0,0.0,0.0
1977,1.0,0.0,0.0
1978,3.0,0.0,0.0
1979,0.0,0.0,0.0
1980,2.0,0.0,0.0
1981,0.0,0.0,0.0
1982,4.0,1.0,1.0
1983,2.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,1.0,0.0,0.0
1987,0.0,0.0,0.0
1988,1.0,0.0,0.0
1989,2.0,0.0,0.0
1990,0.0,0.0,0.0
1991,1.0,0.0,0.0
1992,1.0,0.0,0.0
1993,0.0,0.0,0.0
1994,5.0,1.0,0.0
1995,2.0,0.0,0.0
1996,0.0,0.0,0.0
1997,5.0,0.0,0.0
1998,0.0,0.0,0.0
1999,3.0,0.0,0.0
2000,0.0,0.0,0.0
2001,2.0,0.0,0.0
2002,4.0,0.0,0.0
2003,2.0,0.0,0.0
2004,2.0,0.0,0.0
2005,3.0,0.0,0.0
2006,5.0,0.0,0.0
2007,1.0,0.0,0.0
2008,2.0,0.0,0.0
2009,2.0,0.0,0.0
2010,1.0,0.0,0.0
2011,1.0,0.0,0.0
2012,0.0,0.0,0.0
2013,1.0,0.0,0.0
2014,7.0,0.0,0.0
2015,1.0,0.0,0.0
2016,1.0,0.0,0.0
2017,0.0,0.0,0.0
2018,6.0,1.0,1.0
2019,2.0,0.0,0.0
2020,4.0,0.0,0.0
