Year,HeatWave,Min
1969,8.0,0.0
1970,2.0,0.0
1971,2.0,0.0
1972,4.0,0.0
1973,7.0,0.0
1974,1.0,0.0
1975,6.0,1.0
1976,1.0,0.0
1977,1.0,0.0
1978,3.0,0.0
1979,0.0,0.0
1980,3.0,0.0
1981,0.0,0.0
1982,10.0,0.0
1983,4.0,0.0
1984,0.0,0.0
1985,0.0,0.0
1986,0.0,0.0
1987,0.0,0.0
1988,2.0,0.0
1989,4.0,0.0
1990,0.0,0.0
1991,4.0,0.0
1992,2.0,0.0
1993,0.0,0.0
1994,12.0,1.0
1995,3.0,0.0
1996,1.0,0.0
1997,7.0,1.0
1998,0.0,0.0
1999,5.0,0.0
2000,0.0,0.0
2001,3.0,0.0
2002,8.0,1.0
2003,4.0,1.0
2004,3.0,0.0
2005,6.0,0.0
2006,8.0,0.0
2007,3.0,0.0
2008,5.0,0.0
2009,4.0,0.0
2010,4.0,1.0
2011,1.0,0.0
2012,0.0,0.0
2013,1.0,0.0
2014,12.0,1.0
2015,1.0,0.0
2016,2.0,0.0
2017,0.0,0.0
2018,18.0,3.0
2019,3.0,0.0
2020,6.0,0.0
